Date,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8,Pixel 9,Pixel 10,Pixel 11,Pixel 12,Pixel 13,Pixel 14,Pixel 15,Pixel 16,Pixel 17,Pixel 18,Pixel 19,Pixel 20,Pixel 21,Pixel 22,Pixel 23,Pixel 24,Pixel 25,Pixel 26,Pixel 27,Pixel 28,Pixel 29,Pixel 30
19/08/2017,0.001326,-0.001892,-0.000417,-0.002239,0.001968,0.000433,-0.001397,-0.001334,-0.002239,0.000637,0.004128,0.001897,-0.001397,-0.001334,-0.000168,0.005248,0.004128,0.001897,0.002039,0.002028,0.001225,0.003516,0.004795,0.002481,-0.000232,0.001194,0.003516,-0.000232,0.001194,0.00399
31/08/2017,-0.000669,-0.000048,0.000541,0.000272,0.002172,0.003998,0.00362,0.004463,0.000272,-0.002955,-0.00068,0.002001,0.00362,0.004463,0.00313,0.001956,-0.00068,0.002001,0.003504,0.007117,0.000162,-0.000553,-0.001053,0.001017,0.00692,-0.000268,-0.000553,0.00692,-0.000268,0.002451
12/09/2017,-0.000007,0.003327,-0.000999,0.002295,-0.004011,0.001082,0.000273,0.004694,0.002295,-0.001396,-0.000642,-0.000736,0.000273,0.004694,0.000561,0.00266,-0.000642,-0.000736,-0.001387,-0.000058,0.002647,0.003131,-0.000686,0.001587,-0.00106,0.001179,0.003131,-0.00106,0.001179,0.000513
24/09/2017,0.00098,0.001499,0.001585,0.000916,-0.001209,0.001949,0.000411,0.001039,0.000916,0.000744,0.002714,-0.000125,0.000411,0.001039,0.003366,0.000989,0.002714,-0.000125,0.000768,-0.001146,0.00392,-0.00159,0.000329,0.002923,0.000092,0.00313,-0.00159,0.000092,0.00313,0.000601
6/10/2017,-0.000118,-0.001363,-0.000387,0.00144,-0.001691,0.001247,-0.002992,-0.000101,0.00144,0.006001,0.004534,-0.002575,-0.002992,-0.000101,0.001088,-0.001285,0.004534,-0.002575,0.000919,-0.00166,0.000625,-0.000076,0.001607,0.002705,0.000728,0.002969,-0.000076,0.000728,0.002969,0.001664
18/10/2017,-0.003098,-0.001872,-0.000544,-0.000547,-0.005263,-0.007798,-0.005032,-0.00272,-0.000547,0.001837,-0.003421,-0.00418,-0.005032,-0.00272,-0.003128,-0.002904,-0.003421,-0.00418,-0.002177,-0.003847,-0.000614,-0.004913,-0.007211,-0.004048,-0.00141,-0.001735,-0.004913,-0.00141,-0.001735,-0.001831
30/10/2017,-0.003534,-0.005348,-0.003282,-0.003639,-0.002264,-0.002978,-0.000655,-0.003352,-0.003639,-0.002873,-0.001116,-0.004653,-0.000655,-0.003352,-0.00047,-0.004544,-0.001116,-0.004653,-0.000336,-0.00363,-0.001732,0.001245,0.001985,-0.002416,-0.005494,0.000204,0.001245,-0.005494,0.000204,-0.0018
11/11/2017,0.00014,-0.00249,-0.000358,-0.000297,0.000431,-0.000751,-0.003706,0.001592,-0.000297,0.002107,-0.001898,0.001576,-0.003706,0.001592,-0.000819,0.002833,-0.001898,0.001576,0.001626,0.001528,0.001353,-0.001333,-0.001245,-0.003354,-0.003816,-0.003537,-0.001333,-0.003816,-0.003537,0.001691
23/11/2017,-0.003965,0.000487,-0.005811,-0.002364,-0.002134,-0.003329,-0.004189,-0.004823,-0.002364,-0.005914,-0.003353,-0.00091,-0.004189,-0.004823,-0.006287,-0.00438,-0.003353,-0.00091,-0.006202,-0.005358,-0.004784,-0.005143,-0.003423,-0.005867,-0.004979,-0.001285,-0.005143,-0.004979,-0.001285,-0.006285
5/12/2017,-0.000396,0.000796,0.003562,-0.002031,0.003493,-0.002451,0.001135,0.004422,-0.002031,-0.001454,0.000624,0.002965,0.001135,0.004422,0.002511,0.000489,0.000624,0.002965,0.000573,0.003826,0.000132,0.002416,0.004442,0.004221,0.001659,0.003675,0.002416,0.001659,0.003675,0.00179
17/12/2017,-0.001162,-0.001113,0.003082,-0.001671,-0.001005,-0.003597,0.000357,-0.003348,-0.001671,-0.001195,0.000914,-0.001752,0.000357,-0.003348,-0.002204,-0.001705,0.000914,-0.001752,-0.000192,0.000371,-0.000951,-0.003228,-0.003001,-0.001332,-0.005044,-0.001088,-0.003228,-0.005044,-0.001088,-0.002772
29/12/2017,0.00201,-0.000343,-0.000932,0.000401,-0.002136,0.000551,-0.00027,-0.000128,0.000401,-0.000905,-0.001178,-0.000809,-0.00027,-0.000128,-0.001764,-0.001112,-0.001178,-0.000809,0.00379,0.000601,-0.001328,0.000744,0.000522,0.001123,0.001612,-0.003587,0.000744,0.001612,-0.003587,-0.001202
10/01/2018,0.000099,0.000629,-0.000403,0.002511,0.00072,0.002171,0.002422,-0.000772,0.002511,-0.000757,0.001878,0.000886,0.002422,-0.000772,-0.00081,-0.001973,0.001878,0.000886,0.000479,0.001498,-0.001543,0.001276,-0.001799,0.000547,-0.001175,-0.00145,0.001276,-0.001175,-0.00145,-0.000066
22/01/2018,0.000026,0.002087,-0.001869,-0.002213,-0.000006,0.000134,0.000337,-0.004462,-0.002213,-0.00313,-0.001425,0.00083,0.000337,-0.004462,-0.000249,-0.000447,-0.001425,0.00083,-0.002242,-0.001794,-0.001309,-0.000779,-0.003701,0.000072,-0.003256,-0.002333,-0.000779,-0.003256,-0.002333,-0.003834
3/02/2018,-0.002045,-0.001528,-0.004864,-0.00251,0.001036,-0.003821,-0.00026,-0.006282,-0.00251,-0.000449,0.003845,-0.002953,-0.00026,-0.006282,-0.003464,-0.001408,0.003845,-0.002953,-0.002897,0.00033,-0.000919,-0.00192,0.001684,-0.001757,-0.005159,-0.001794,-0.00192,-0.005159,-0.001794,-0.000366
15/02/2018,-0.003806,-0.002146,-0.00336,-0.005182,-0.003387,-0.003121,-0.000218,-0.003198,-0.005182,-0.002646,-0.002795,-0.002864,-0.000218,-0.003198,-0.001297,-0.002726,-0.002795,-0.002864,0.00029,-0.004153,-0.001094,-0.00335,-0.000386,0.000676,-0.001284,-0.003071,-0.00335,-0.001284,-0.003071,-0.00086
27/02/2018,0.002079,0.003723,0.000538,0.003904,0.003252,-0.001463,0.001532,-0.002092,0.003904,-0.001517,0.003355,-0.00189,0.001532,-0.002092,0.001219,-0.001292,0.003355,-0.00189,-0.002075,0.000628,0.001056,0.000291,0.000249,0.001299,0.00194,-0.000213,0.000291,0.00194,-0.000213,0.002613
11/03/2018,-0.001555,0.000387,-0.003366,-0.001419,0.001864,-0.003289,0.000197,-0.000917,-0.001419,-0.004312,0.000363,0.001852,0.000197,-0.000917,-0.000824,0.000145,0.000363,0.001852,-0.000448,-0.001827,-0.001119,-0.002079,0.000201,0.001394,0.002311,0.000667,-0.002079,0.002311,0.000667,-0.000232
23/03/2018,-0.003182,-0.001075,-0.002724,-0.001003,-0.000436,-0.00421,-0.002479,-0.002726,-0.001003,-0.005721,-0.001299,-0.003792,-0.002479,-0.002726,-0.000569,-0.00429,-0.001299,-0.003792,0.000664,-0.002717,-0.002702,0.00349,0.000153,-0.000495,-0.0045,-0.003827,0.00349,-0.0045,-0.003827,-0.001804
4/04/2018,-0.002676,-0.002772,-0.004883,-0.001062,-0.003103,-0.002077,0.000937,-0.002663,-0.001062,-0.001494,-0.001988,0.000046,0.000937,-0.002663,-0.001288,-0.003692,-0.001988,0.000046,-0.000897,0.000713,0.000637,0.000063,-0.00192,-0.005734,-0.001176,-0.00032,0.000063,-0.001176,-0.00032,0.002035
16/04/2018,-0.00247,0.001109,-0.001895,-0.001295,0.003813,0.001872,0.001287,-0.000611,-0.001295,-0.002525,0.001458,0.000315,0.001287,-0.000611,-0.000399,-0.000621,0.001458,0.000315,0.00355,0.000599,0.00283,0.001967,-0.000711,0.002682,-0.0012,-0.000795,0.001967,-0.0012,-0.000795,-0.001336
28/04/2018,0.00072,0.00203,0.004292,0.000145,0.004955,0.000787,0.000155,-0.003216,0.000145,-0.001642,-0.001398,0.001003,0.000155,-0.003216,-0.001814,-0.003296,-0.001398,0.001003,0.003199,-0.000284,0.002466,0.001204,0.001482,-0.001146,-0.00001,-0.00236,0.001204,-0.00001,-0.00236,-0.000096
10/05/2018,0.003548,0.004595,0.003256,0.001896,0.003614,0.001447,0.005008,0.001426,0.001896,0.001923,0.002022,0.00078,0.005008,0.001426,0.00202,0.000052,0.002022,0.00078,0.002044,0.001972,0.004287,0.002936,0.000218,-0.000765,-0.001661,-0.004124,0.002936,-0.001661,-0.004124,0.002484
22/05/2018,0.001472,0.000593,-0.004036,-0.004404,-0.002206,-0.00229,0.000422,-0.000458,-0.004404,-0.001569,0.000409,-0.002654,0.000422,-0.000458,-0.001023,-0.003202,0.000409,-0.002654,-0.000827,-0.000927,-0.005312,-0.000213,-0.00156,-0.004134,-0.001159,-0.000392,-0.000213,-0.001159,-0.000392,-0.000556
3/06/2018,0.002294,0.002092,-0.000234,0.001049,0.003073,-0.000207,0.000786,-0.000842,0.001049,-0.00167,0.000673,-0.001483,0.000786,-0.000842,0.001679,-0.000721,0.000673,-0.001483,-0.000263,0.001318,0.000269,-0.003364,-0.004907,0.001382,0.000418,-0.004608,-0.003364,0.000418,-0.004608,0.002317
15/06/2018,-0.00021,0.00195,-0.001162,0.001375,-0.004708,-0.001421,-0.000302,-0.000397,0.001375,-0.000528,0.000717,-0.002219,-0.000302,-0.000397,0.002392,-0.00136,0.000717,-0.002219,-0.002742,-0.000785,0.000052,-0.000246,-0.001773,-0.003439,-0.002375,-0.004576,-0.000246,-0.002375,-0.004576,0.000107
