Date,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8,Pixel 9,Pixel 10,Pixel 11,Pixel 12,Pixel 13,Pixel 14,Pixel 15,Pixel 16,Pixel 17,Pixel 18,Pixel 19,Pixel 20,Pixel 21,Pixel 22,Pixel 23,Pixel 24,Pixel 25,Pixel 26,Pixel 27,Pixel 28,Pixel 29,Pixel 30,Pixel 31,Pixel 32,Pixel 33,Pixel 34,Pixel 35,Pixel 36,Pixel 37,Pixel 38,Pixel 39,Pixel 40,Pixel 41,Pixel 42,Pixel 43,Pixel 44
19/08/2017,-0.001544,-0.000333,0.001761,0.000884,-0.00096,-0.00585,0.004808,0.001001,-0.000651,0.000884,-0.00096,-0.001741,0.001309,0.000242,0.001001,-0.000651,0.004072,0.004072,-0.001833,-0.000949,0.000242,0.003865,0.004879,0.002018,-0.000239,-0.001833,-0.000949,0.002042,0.004203,0.001943,0.002018,-0.000239,0.000363,-0.001722,0.004203,0.001943,-0.000907,0.001865,-0.000381,-0.001512,0.000019,0.001058,0.002377,-0.000613
31/08/2017,-0.000326,-0.00304,-0.000388,-0.005827,-0.000265,-0.004835,0.000871,0.001615,-0.001757,-0.005827,-0.000265,-0.001547,-0.002264,0.000178,0.001615,-0.001757,0.000091,0.000091,0.001325,0.000383,0.000178,0.000232,0.00145,-0.002284,-0.000808,0.001325,0.000383,-0.000293,0.000621,0.001115,-0.002284,-0.000808,-0.000925,-0.001243,0.000621,0.001115,0.001996,-0.001219,-0.000032,0.00115,-0.001662,0.003659,-0.002775,0.003337
12/09/2017,-0.000646,-0.000842,0.000047,0.004234,0.002353,0.002062,-0.000238,-0.001199,0.003565,0.004234,0.002353,0.001174,0.007281,-0.000525,-0.001199,0.003565,0.00229,0.00229,0.001836,0.001696,-0.000525,0.000742,0.001028,-0.000317,0.000127,0.001836,0.001696,-0.000694,0.002026,0.001748,-0.000317,0.000127,0.001328,0.002363,0.002026,0.001748,0.000269,0.000751,-0.0017,0.00255,0.002587,0.001793,-0.001383,0.00111
24/09/2017,-0.002854,0.001963,0.000028,0.002261,0.003724,0.004994,0.001221,-0.006345,0.001655,0.002261,0.003724,0.00105,0.00264,-0.000533,-0.006345,0.001655,-0.003961,-0.003961,0.002263,0.002703,-0.000533,0.00119,-0.001677,0.00264,0.006793,0.002263,0.002703,0.004195,0.003967,0.001106,0.00264,0.006793,0.003295,0.00407,0.003967,0.001106,0.006866,-0.000075,0.001839,0.002896,0.001071,0.004545,0.001096,0.000349
6/10/2017,0.000325,-0.002356,0.001707,0.002123,0.000585,0.001063,-0.000225,0.000053,0.002004,0.002123,0.000585,0.002264,-0.001285,0.00089,0.000053,0.002004,0.000769,0.000769,0.001613,-0.001778,0.00089,0.000487,-0.005758,-0.000019,0.000889,0.001613,-0.001778,-0.000047,-0.001537,-0.000474,-0.000019,0.000889,-0.000662,-0.000336,-0.001537,-0.000474,-0.005124,-0.000103,0.003516,-0.001332,-0.000087,-0.000704,0.000585,-0.000927
18/10/2017,0.000478,-0.000904,-0.002615,0.001139,0.003161,-0.000447,-0.002224,-0.002791,-0.005865,0.001139,0.003161,-0.000067,0.000437,-0.000821,-0.002791,-0.005865,-0.005047,-0.005047,-0.003517,-0.000542,-0.000821,-0.004581,-0.002627,-0.005045,-0.002899,-0.003517,-0.000542,0.000661,-0.003311,-0.001256,-0.005045,-0.002899,-0.000563,0.003151,-0.003311,-0.001256,-0.001342,0.000835,-0.001985,-0.001767,-0.003984,-0.00204,-0.000519,-0.005873
30/10/2017,-0.004728,-0.006238,-0.003353,-0.00088,-0.002716,-0.000617,-0.001546,-0.00232,-0.001065,-0.00088,-0.002716,-0.001566,-0.007028,-0.000257,-0.00232,-0.001065,-0.002297,-0.002297,-0.004245,-0.003089,-0.000257,-0.000692,0.000289,-0.003459,-0.004238,-0.004245,-0.003089,-0.004324,-0.001511,-0.001823,-0.003459,-0.004238,0.000483,-0.003225,-0.001511,-0.001823,-0.002459,-0.00083,-0.002837,-0.004446,-0.003287,-0.003099,0.001033,-0.001743
11/11/2017,-0.005982,-0.003139,-0.005756,-0.003959,-0.005703,-0.009669,-0.00459,-0.006499,-0.006068,-0.003959,-0.005703,-0.004448,-0.000324,-0.00197,-0.006499,-0.006068,-0.004958,-0.004958,-0.004336,-0.003199,-0.00197,-0.006792,-0.007648,-0.003286,-0.003484,-0.004336,-0.003199,-0.002302,-0.003428,-0.004175,-0.003286,-0.003484,-0.004406,-0.002709,-0.003428,-0.004175,-0.004364,-0.009168,-0.005333,-0.010323,-0.002572,-0.002518,-0.003762,-0.006864
23/11/2017,-0.004178,-0.006799,-0.004876,-0.00654,-0.005161,-0.008626,-0.005695,-0.006023,-0.007461,-0.00654,-0.005161,-0.006018,-0.009161,-0.003901,-0.006023,-0.007461,-0.004064,-0.004064,-0.008494,-0.00364,-0.003901,-0.007097,-0.000544,-0.005487,-0.005572,-0.008494,-0.00364,-0.003806,-0.001415,-0.004046,-0.005487,-0.005572,-0.002108,0.000299,-0.001415,-0.004046,-0.008,-0.005085,-0.00534,-0.006526,-0.003087,-0.002132,-0.000954,-0.005342
5/12/2017,0.000748,0.000281,-0.003243,0.001266,-0.001822,0.000017,-0.002329,0.000873,-0.002694,0.001266,-0.001822,0.000332,-0.000164,-0.001362,0.000873,-0.002694,-0.000197,-0.000197,0.000066,-0.002248,-0.001362,-0.004287,0.000538,0.001249,-0.003219,0.000066,-0.002248,-0.000968,-0.00175,-0.001799,0.001249,-0.003219,-0.004517,-0.003554,-0.00175,-0.001799,-0.000663,-0.00094,-0.002214,-0.004425,-0.002489,-0.000951,0.000057,-0.002758
17/12/2017,-0.002006,0.004358,0.000066,0.000019,-0.002033,-0.003444,-0.000483,0.003442,0.004867,0.000019,-0.002033,-0.002867,-0.002259,-0.000098,0.003442,0.004867,-0.002873,-0.002873,-0.002487,0.001921,-0.000098,-0.00058,0.000294,0.004212,-0.002038,-0.002487,0.001921,-0.001747,0.00064,0.001567,0.004212,-0.002038,-0.001037,0.003835,0.00064,0.001567,0.000266,0.002828,0.001008,0.003213,0.0003,0.001136,0.000334,-0.003277
