Date,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8,Pixel 9,Pixel 10,Pixel 11,Pixel 12,Pixel 13,Pixel 14,Pixel 15,Pixel 16,Pixel 17,Pixel 18,Pixel 19,Pixel 20,Pixel 21,Pixel 22,Pixel 23,Pixel 24,Pixel 25,Pixel 26,Pixel 27,Pixel 28,Pixel 29,Pixel 30,Pixel 31,Pixel 32,Pixel 33,Pixel 34,Pixel 35,Pixel 36,Pixel 37,Pixel 38,Pixel 39,Pixel 40,Pixel 41,Pixel 42,Pixel 43,Pixel 44,Pixel 45,Pixel 46
19/08/2017,0.004213,-0.000964,0.000797,0.004213,-0.000167,-0.000762,0.000685,-0.000964,0.000797,0.003413,0.000523,0.000523,0.000974,0.000685,0.000379,0.005219,0.001582,0.003712,0.000974,-0.003565,-0.005461,-0.005461,0.00187,0.001582,0.003712,0.001433,0.002829,-0.000028,0.00187,0.00187,0.001652,-0.000734,-0.00114,-0.001256,-0.000028,0.000488,0.003323,0.003323,0.002554,0.00493,-0.001256,0.002649,0.005852,0.008819,0.00493,0.000878
31/08/2017,-0.002876,-0.002336,-0.002471,-0.002876,-0.001728,-0.001129,-0.001179,-0.002336,-0.002471,0.000355,-0.003102,-0.003102,-0.00073,-0.001179,-0.003948,-0.003044,-0.001288,-0.001873,-0.00073,-0.006137,0.003099,0.003099,-0.002775,-0.001288,-0.001873,-0.00464,-0.003614,-0.001237,-0.002775,-0.002775,-0.005047,-0.008584,-0.00204,-0.00593,-0.001237,-0.002954,-0.000578,-0.000578,-0.001868,-0.003001,-0.00593,-0.000336,-0.000403,0.002465,-0.003001,-0.004366
12/09/2017,0.003141,-0.001945,-0.000287,0.003141,-0.002767,-0.001893,-0.004777,-0.001945,-0.000287,-0.001898,-0.00015,-0.00015,-0.004091,-0.004777,0.000592,-0.007028,-0.001209,0.001118,-0.004091,0.001767,0.001287,0.001287,-0.001068,-0.001209,0.001118,-0.000639,-0.000599,-0.002938,-0.001068,-0.001068,-0.000957,-0.004864,-0.002003,-0.003011,-0.002938,0.001482,-0.00304,-0.00304,-0.003745,-0.003565,-0.003011,0.006905,-0.000945,-0.004184,-0.003565,0.000612
24/09/2017,0.006595,0.003945,0.002522,0.006595,0.004334,0.002777,0.000246,0.003945,0.002522,0.002281,0.001596,0.001596,0.004526,0.000246,-0.002566,0.000466,0.000627,-0.003695,0.004526,0.001145,-0.000269,-0.000269,0.000144,0.000627,-0.003695,-0.000682,0.001294,-0.00264,0.000144,0.000144,-0.000571,-0.000215,-0.00171,0.001716,-0.00264,-0.000095,-0.000693,-0.000693,-0.003718,0.002352,0.001716,0.002543,0.002337,0.001219,0.002352,-0.00417
6/10/2017,0.000195,0.001124,0.002597,0.000195,0.003433,0.00175,0.00172,0.001124,0.002597,0.001814,0.002524,0.002524,-0.001008,0.00172,0.000021,-0.004041,0.000861,-0.003533,-0.001008,-0.00085,0.001234,0.001234,0.003109,0.000861,-0.003533,-0.000432,-0.000493,-0.001774,0.003109,0.003109,-0.000012,0.000792,-0.002025,0.002588,-0.001774,-0.000349,-0.000912,-0.000912,0.003511,-0.002578,0.002588,-0.004335,-0.000861,-0.001677,-0.002578,0.001683
18/10/2017,-0.004116,-0.005192,-0.000223,-0.004116,-0.000146,-0.003754,-0.002326,-0.005192,-0.000223,-0.001035,0.001372,0.001372,0.001449,-0.002326,-0.000711,-0.003004,0.000353,-0.002232,0.001449,-0.003826,-0.003593,-0.003593,-0.004932,0.000353,-0.002232,-0.000341,-0.002527,-0.001639,-0.004932,-0.004932,-0.002509,0.000819,-0.001567,0.000479,-0.001639,-0.002969,-0.000188,-0.000188,-0.002979,-0.006529,0.000479,-0.004121,-0.003793,-0.003536,-0.006529,-0.000849
30/10/2017,0.001253,-0.002136,-0.001653,0.001253,0.00112,-0.000544,0.001447,-0.002136,-0.001653,-0.000012,-0.001983,-0.001983,0.000918,0.001447,-0.002752,-0.001797,-0.0031,0.001668,0.000918,0.000685,-0.001592,-0.001592,0.002453,-0.0031,0.001668,-0.000767,0.001368,-0.001232,0.002453,0.002453,0.000844,0.002225,0.002797,-0.001566,-0.001232,-0.002933,-0.00184,-0.00184,-0.004428,-0.001358,-0.001566,-0.005126,-0.005237,-0.005245,-0.001358,0.000844
11/11/2017,-0.001046,-0.001141,-0.005983,-0.001046,-0.000894,0.000381,0.000447,-0.001141,-0.005983,-0.003361,-0.000438,-0.000438,-0.003005,0.000447,-0.001453,0.001958,-0.002171,-0.002452,-0.003005,-0.001242,-0.002625,-0.002625,0.000399,-0.002171,-0.002452,-0.001739,-0.002046,-0.003684,0.000399,0.000399,-0.001887,0.00006,-0.004482,-0.001209,-0.003684,-0.001363,-0.004991,-0.004991,-0.004203,-0.008707,-0.001209,-0.000865,-0.002306,-0.00183,-0.008707,0.0012
23/11/2017,-0.003716,0.002101,-0.003315,-0.003716,-0.003098,0.000739,-0.002392,0.002101,-0.003315,-0.003568,-0.000144,-0.000144,0.003566,-0.002392,-0.002505,0.001118,-0.001402,-0.000622,0.003566,0.001766,-0.00033,-0.00033,0.000125,-0.001402,-0.000622,-0.001737,-0.001118,0.002,0.000125,0.000125,-0.001418,0.002151,0.002879,0.000511,0.002,0.00033,-0.001104,-0.001104,0.002043,0.004968,0.000511,-0.005003,0.000395,-0.00009,0.004968,0.002858
5/12/2017,0.000492,0.00182,0.000889,0.000492,-0.000483,0.001122,0.001515,0.00182,0.000889,0.000592,0.000116,0.000116,0.001105,0.001515,0.000044,0.001482,0.000203,0.002077,0.001105,0.000965,0.001362,0.001362,-0.00085,0.000203,0.002077,0.001142,0.000461,0.000913,-0.00085,-0.00085,0.003287,0.001479,0.0049,0.000965,0.000913,0.001313,0.002603,0.002603,0.001914,-0.002573,0.000965,-0.004784,-0.001113,-0.006917,-0.002573,0.001666
