Date,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8,Pixel 9,Pixel 10,Pixel 11,Pixel 12,Pixel 13,Pixel 14,Pixel 15,Pixel 16,Pixel 17,Pixel 18,Pixel 19,Pixel 20,Pixel 21,Pixel 22,Pixel 23,Pixel 24,Pixel 25,Pixel 26,Pixel 27,Pixel 28,Pixel 29,Pixel 30,Pixel 31,Pixel 32,Pixel 33,Pixel 34,Pixel 35,Pixel 36,Pixel 37,Pixel 38
24/08/2017,-0.008608,-0.008608,-0.005966,-0.009774,-0.009774,-0.000563,-0.005966,-0.005966,0.001426,0.001426,-0.006722,0.000047,-0.000563,-0.00188,-0.00188,-0.003962,-0.003936,-0.006722,0.000047,0.000047,-0.003075,0.002627,0.002627,-0.003936,-0.003936,-0.002628,-0.002628,0.002627,0.002627,-0.00047,-0.007506,-0.002628,-0.002628,0.001387,-0.000435,-0.000435,-0.001527,0.002838
5/09/2017,-0.002762,-0.002762,0.000608,-0.005355,-0.005355,-0.003046,0.000608,0.000608,-0.002119,-0.002119,-0.003122,-0.000935,-0.003046,-0.004054,-0.004054,0.002053,0.004343,-0.003122,-0.000935,-0.000935,0.001381,-0.000861,-0.000861,0.004343,0.004343,0.004715,0.004715,-0.000861,-0.000861,-0.004559,-0.001279,0.004715,0.004715,0.000451,-0.001443,-0.001443,-0.000984,0.001788
17/09/2017,0.002638,0.002638,-0.013514,0.001817,0.001817,0.002853,-0.013514,-0.013514,0.001111,0.001111,0.006892,0.000471,0.002853,0.00338,0.00338,0.00433,0.003894,0.006892,0.000471,0.000471,0.004083,0.001143,0.001143,0.003894,0.003894,0.000403,0.000403,0.001143,0.001143,0.001664,0.000178,0.000403,0.000403,0.001922,0.006794,0.006794,-0.000049,0.003084
29/09/2017,0.004979,0.004979,0.006115,-0.001455,-0.001455,0.000848,0.006115,0.006115,-0.003306,-0.003306,0.000345,0.001106,0.000848,0.003063,0.003063,-0.00229,-0.000197,0.000345,0.001106,0.001106,0.000704,-0.000204,-0.000204,-0.000197,-0.000197,0.000403,0.000403,-0.000204,-0.000204,0.006487,0.00759,0.000403,0.000403,0.000767,-0.00052,-0.00052,0.003695,0.002956
11/10/2017,-0.003387,-0.003387,0.002417,0.001995,0.001995,0.000911,0.002417,0.002417,0.006167,0.006167,0.000929,0.001984,0.000911,0.002402,0.002402,-0.003003,0.002465,0.000929,0.001984,0.001984,0.002205,0.002077,0.002077,0.002465,0.002465,0.004734,0.004734,0.002077,0.002077,-0.000314,-0.000409,0.004734,0.004734,0.003227,-0.00396,-0.00396,0.000515,0.001639
23/10/2017,-0.000493,-0.000493,0.004195,-0.001628,-0.001628,-0.000533,0.004195,0.004195,0.004037,0.004037,0.001206,-0.003047,-0.000533,-0.001943,-0.001943,0.002914,-0.004054,0.001206,-0.003047,-0.003047,-0.001158,-0.000129,-0.000129,-0.004054,-0.004054,-0.0088,-0.0088,-0.000129,-0.000129,-0.011611,0.001751,-0.0088,-0.0088,-0.002597,-0.001015,-0.001015,-0.005596,-0.001744
4/11/2017,-0.004126,-0.004126,-0.003341,0.002139,0.002139,0.001895,-0.003341,-0.003341,-0.003007,-0.003007,-0.00337,0.000911,0.001895,-0.003873,-0.003873,-0.000628,-0.007408,-0.00337,0.000911,0.000911,-0.006962,-0.001144,-0.001144,-0.007408,-0.007408,-0.002774,-0.002774,-0.001144,-0.001144,-0.003538,0.004488,-0.002774,-0.002774,-0.000489,-0.000177,-0.000177,-0.000835,-0.002366
16/11/2017,0.000613,0.000613,-0.007819,-0.004739,-0.004739,-0.00016,-0.007819,-0.007819,-0.006917,-0.006917,-0.005305,-0.004004,-0.00016,-0.003774,-0.003774,-0.003397,-0.000185,-0.005305,-0.004004,-0.004004,-0.002958,-0.005768,-0.005768,-0.000185,-0.000185,-0.007264,-0.007264,-0.005768,-0.005768,0.003215,-0.001759,-0.007264,-0.007264,-0.001253,-0.003436,-0.003436,-0.000162,-0.002409
28/11/2017,-0.004689,-0.004689,-0.014149,0.010847,0.010847,-0.004999,-0.014149,-0.014149,-0.000346,-0.000346,-0.005149,-0.00574,-0.004999,-0.004785,-0.004785,-0.000063,0.008784,-0.005149,-0.00574,-0.00574,-0.00206,-0.005535,-0.005535,0.008784,0.008784,-0.004401,-0.004401,-0.005535,-0.005535,0.003384,-0.003993,-0.004401,-0.004401,-0.00288,-0.003173,-0.003173,-0.010989,-0.003834
10/12/2017,-0.004391,-0.004391,-0.003884,-0.008532,-0.008532,0.001217,-0.003884,-0.003884,-0.003397,-0.003397,-0.004177,0.000292,0.001217,-0.003527,-0.003527,-0.005866,-0.002069,-0.004177,0.000292,0.000292,-0.003684,-0.002154,-0.002154,-0.002069,-0.002069,-0.000682,-0.000682,-0.002154,-0.002154,-0.0027,-0.006481,-0.000682,-0.000682,-0.002182,-0.005735,-0.005735,-0.000519,-0.003772
