Date,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8,Pixel 9,Pixel 10,Pixel 11,Pixel 12,Pixel 13,Pixel 14,Pixel 15,Pixel 16,Pixel 17,Pixel 18,Pixel 19,Pixel 20,Pixel 21,Pixel 22,Pixel 23,Pixel 24,Pixel 25,Pixel 26,Pixel 27,Pixel 28,Pixel 29,Pixel 30,Pixel 31,Pixel 32,Pixel 33,Pixel 34,Pixel 35,Pixel 36,Pixel 37
24/08/2017,-0.0037,-0.00328,-0.000046,0.001154,0.000917,0.000917,-0.006274,-0.002426,0.000796,0.003742,0.002921,0.002921,-0.006274,0.00274,0.005305,-0.006141,0.002411,0.002921,-0.002747,-0.002747,0.003502,-0.002399,0.002411,0.002411,0.000568,-0.000204,-0.000204,0.007881,-0.002399,-0.0049,-0.0049,0.002476,0.007881,0.007881,-0.0049,0.002476,0.00471
5/09/2017,0.000072,-0.000755,0.004449,-0.001122,-0.005813,-0.005813,0.005555,-0.004134,-0.001305,-0.00573,0.00357,0.00357,0.005555,0.000419,0.009625,-0.001623,0.004816,0.00357,-0.004691,-0.004691,0.010173,0.005699,0.004816,0.004816,0.004207,0.003854,0.003854,0.002739,0.005699,0.009278,0.009278,0.000972,0.002739,0.002739,0.009278,0.000972,0.002823
17/09/2017,-0.001215,-0.006844,-0.005845,-0.004033,-0.002505,-0.002505,0.001631,-0.001506,0.005086,-0.010727,-0.000109,-0.000109,0.001631,-0.003926,-0.005334,-0.006364,-0.007685,-0.000109,-0.004327,-0.004327,0.004659,-0.010046,-0.007685,-0.007685,-0.006156,0.000115,0.000115,-0.007822,-0.010046,-0.002238,-0.002238,-0.003505,-0.007822,-0.007822,-0.002238,-0.003505,0.002274
29/09/2017,0.014921,0.00625,0.002416,0.01708,0.016541,0.016541,-0.0011,0.004192,-0.014835,0.002105,0.007573,0.007573,-0.0011,0.025864,0.012133,0.010575,0.02464,0.007573,0.001598,0.001598,-0.002831,0.000169,0.02464,0.02464,0.009318,0.013333,0.013333,-0.00537,0.000169,0.005803,0.005803,0.002821,-0.00537,-0.00537,0.005803,0.002821,-0.001708
11/10/2017,0.003805,0.003903,0.005955,0.002344,0.003105,0.003105,0.000844,-0.001161,-0.000127,0.006034,0.004275,0.004275,0.000844,0.00583,0.000037,0.000615,0.002817,0.004275,0.002656,0.002656,0.001858,0.003006,0.002817,0.002817,0.005519,-0.001311,-0.001311,0.001365,0.003006,0.000936,0.000936,0.004282,0.001365,0.001365,0.000936,0.004282,-0.003427
23/10/2017,-0.004103,0.00831,-0.00338,-0.001125,0.006316,0.006316,0.002788,0.005329,0.006682,0.002876,-0.001473,-0.001473,0.002788,-0.00164,-0.008099,0.00434,0.000297,-0.001473,0.004413,0.004413,-0.004173,0.000591,0.000297,0.000297,0.004395,0.008352,0.008352,0.001105,0.000591,-0.003601,-0.003601,0.009152,0.001105,0.001105,-0.003601,0.009152,-0.004713
4/11/2017,-0.003479,-0.002305,0.002133,-0.003323,0.005358,0.005358,-0.002778,0.002712,-0.003996,0.005135,-0.001149,-0.001149,-0.002778,-0.004175,-0.00221,0.002948,-0.006518,-0.001149,0.002356,0.002356,-0.01077,-0.006626,-0.006518,-0.006518,-0.004012,0.001583,0.001583,-0.006258,-0.006626,0.000942,0.000942,-0.00074,-0.006258,-0.006258,0.000942,-0.00074,0.001205
16/11/2017,-0.003568,-0.009368,-0.000232,-0.004109,-0.005375,-0.005375,-0.010159,-0.005426,-0.000379,-0.00497,-0.00331,-0.00331,-0.010159,-0.006773,-0.008908,-0.002128,-0.003942,-0.00331,-0.007735,-0.007735,-0.005091,-0.005035,-0.003942,-0.003942,-0.004714,-0.002281,-0.002281,-0.001035,-0.005035,-0.003373,-0.003373,-0.00275,-0.001035,-0.001035,-0.003373,-0.00275,-0.005755
28/11/2017,-0.000512,-0.000816,0.000287,-0.00949,0.000638,0.000638,-0.007945,-0.013444,-0.002974,-0.003071,-0.006095,-0.006095,-0.007945,-0.006951,-0.002607,-0.001164,-0.006165,-0.006095,0.013138,0.013138,-0.003602,-0.003522,-0.006165,-0.006165,-0.006372,-0.00831,-0.00831,0.007742,-0.003522,-0.001183,-0.001183,-0.000933,0.007742,0.007742,-0.001183,-0.000933,-0.005644
10/12/2017,-0.007396,-0.0093,-0.007975,-0.012719,-0.010834,-0.010834,-0.008748,-0.006042,-0.00649,-0.007794,-0.002787,-0.002787,-0.008748,-0.004323,0.000634,-0.001175,-0.006658,-0.002787,-0.001215,-0.001215,0.001524,-0.005181,-0.006658,-0.006658,-0.006429,-0.000991,-0.000991,-0.005404,-0.005181,-0.006179,-0.006179,-0.005547,-0.005404,-0.005404,-0.006179,-0.005547,-0.009779
