,19/08/2017,31/08/2017,12/09/2017,24/09/2017,6/10/2017,18/10/2017,30/10/2017,11/11/2017,23/11/2017,5/12/2017,17/12/2017,29/12/2017,10/01/2018,22/01/2018,3/02/2018,15/02/2018,27/02/2018,11/03/2018,23/03/2018,4/04/2018,16/04/2018,28/04/2018,10/05/2018,22/05/2018,3/06/2018,15/06/2018,27/06/2018,9/07/2018,21/07/2018,2/08/2018,14/08/2018,26/08/2018,7/09/2018,19/09/2018,1/10/2018,13/10/2018,25/10/2018,6/11/2018,18/11/2018,30/11/2018,12/12/2018,24/12/2018,5/01/2019,17/01/2019,X,Y,Count,Nbhd
Pixel.1,0.001326,-0.000669,-7.00E-06,0.00098,-0.000118,-0.003098,-0.003534,0.00014,-0.003965,-0.000396,-0.001162,0.00201,9.90E-05,2.60E-05,-0.002045,-0.003806,0.002079,-0.001555,-0.003182,-0.002676,-0.00247,0.00072,0.003548,0.001472,0.002294,-0.00021,-0.001537,-0.002076,-0.001848,-0.002591,-0.004176,-0.003064,0.000828,-0.002335,-0.002014,-0.004844,-0.001491,-0.005016,-0.004039,-0.004434,-0.005359,-0.002801,0.000914,-0.001899,591817,7775020,1,1
Pixel.2,-0.001892,-4.80E-05,0.003327,0.001499,-0.001363,-0.001872,-0.005348,-0.00249,0.000487,0.000796,-0.001113,-0.000343,0.000629,0.002087,-0.001528,-0.002146,0.003723,0.000387,-0.001075,-0.002772,0.001109,0.00203,0.004595,0.000593,0.002092,0.00195,-0.001468,-0.003105,-0.00236,-0.004318,-0.005138,-0.00454,-0.002677,-0.001929,-0.001445,-0.006204,0.003273,0.000491,-0.003452,-0.000707,-0.002088,-0.000315,0.000848,0.000432,591837,7775020,2,1
Pixel.3,-0.000417,0.000541,-0.000999,0.001585,-0.000387,-0.000544,-0.003282,-0.000358,-0.005811,0.003562,0.003082,-0.000932,-0.000403,-0.001869,-0.004864,-0.00336,0.000538,-0.003366,-0.002724,-0.004883,-0.001895,0.004292,0.003256,-0.004036,-0.000234,-0.001162,-0.002404,-0.001346,-0.001508,-0.002325,-0.00263,-0.002342,0.003143,-0.003653,-0.001569,-0.003293,-0.001059,-0.005507,-0.004667,-0.006933,-0.005205,-0.00626,-0.003304,-0.002799,591856,7775020,1,1
Pixel.4,-0.002239,0.000272,0.002295,0.000916,0.00144,-0.000547,-0.003639,-0.000297,-0.002364,-0.002031,-0.001671,0.000401,0.002511,-0.002213,-0.00251,-0.005182,0.003904,-0.001419,-0.001003,-0.001062,-0.001295,0.000145,0.001896,-0.004404,0.001049,0.001375,-0.000687,-0.001689,-0.00037,-0.001162,-0.003286,0.001067,-0.001394,-0.003831,-0.004624,-0.006547,0.000711,-0.004956,-0.0046,-0.008208,-0.00326,-0.002702,-0.004436,-0.001446,591876,7775020,3,1
Pixel.5,0.001968,0.002172,-0.004011,-0.001209,-0.001691,-0.005263,-0.002264,0.000431,-0.002134,0.003493,-0.001005,-0.002136,0.00072,-6.00E-06,0.001036,-0.003387,0.003252,0.001864,-0.000436,-0.003103,0.003813,0.004955,0.003614,-0.002206,0.003073,-0.004708,-0.00329,-0.001368,-0.00348,-0.000401,-0.003709,-0.003414,-0.004449,-0.006664,-0.000534,-0.000357,0.002074,-0.007236,-0.002859,-0.007105,-0.004696,-0.003849,0.000372,0.003359,591796,7775000,3,1
Pixel.7,-0.001397,0.00362,0.000273,0.000411,-0.002992,-0.005032,-0.000655,-0.003706,-0.004189,0.001135,0.000357,-0.00027,0.002422,0.000337,-0.00026,-0.000218,0.001532,0.000197,-0.002479,0.000937,0.001287,0.000155,0.005008,0.000422,0.000786,-0.000302,-0.005786,-0.004996,-0.001208,-0.001037,-0.001254,-0.004608,0.001107,-0.002775,-0.001174,-0.002883,-0.000109,-0.000298,-0.002572,-0.004159,-0.004089,-0.005088,-0.000876,0.001461,591836,7775000,1,1
Pixel.8,-0.001334,0.004463,0.004694,0.001039,-0.000101,-0.00272,-0.003352,0.001592,-0.004823,0.004422,-0.003348,-0.000128,-0.000772,-0.004462,-0.006282,-0.003198,-0.002092,-0.000917,-0.002726,-0.002663,-0.000611,-0.003216,0.001426,-0.000458,-0.000842,-0.000397,-0.001199,-0.000549,0.000418,0.000802,-0.003787,-0.002665,0.000906,-0.003157,-0.001332,0.000312,0.000998,-0.002927,-0.009378,-0.006739,-0.006554,-0.004051,0.000337,-0.000588,591856,7775000,2,1
Pixel.10,0.000637,-0.002955,-0.001396,0.000744,0.006001,0.001837,-0.002873,0.002107,-0.005914,-0.001454,-0.001195,-0.000905,-0.000757,-0.00313,-0.000449,-0.002646,-0.001517,-0.004312,-0.005721,-0.001494,-0.002525,-0.001642,0.001923,-0.001569,-0.00167,-0.000528,-0.002076,-0.00349,-0.005478,-0.002373,-0.007435,-0.00191,-0.003401,-0.004548,-0.003302,-0.004788,-0.000672,-0.002904,-0.005021,-0.008919,-0.001901,-0.002609,-0.000178,-0.006697,591896,7775000,2,1
Pixel.11,0.004128,-0.00068,-0.000642,0.002714,0.004534,-0.003421,-0.001116,-0.001898,-0.003353,0.000624,0.000914,-0.001178,0.001878,-0.001425,0.003845,-0.002795,0.003355,0.000363,-0.001299,-0.001988,0.001458,-0.001398,0.002022,0.000409,0.000673,0.000717,0.000555,0.001059,-0.003061,0.000867,-0.00234,-0.002098,-0.004175,-0.003584,0.000498,-0.001361,0.004292,-0.001681,-0.001957,-0.003698,-0.002164,-0.001646,0.000871,0.000601,591795,7774980,1,1
Pixel.15,-0.000168,0.00313,0.000561,0.003366,0.001088,-0.003128,-0.00047,-0.000819,-0.006287,0.002511,-0.002204,-0.001764,-0.00081,-0.000249,-0.003464,-0.001297,0.001219,-0.000824,-0.000569,-0.001288,-0.000399,-0.001814,0.00202,-0.001023,0.001679,0.002392,-0.002456,0.001402,-0.004683,0.001748,-0.003711,-0.000709,0.000771,-0.001921,-0.002714,-0.004853,-0.000636,-0.003166,-0.00464,-0.002187,-0.005218,-0.00459,0.00085,0.004959,591875,7774980,3,1
