"","X.1","X19.08.2017","X31.08.2017","X12.09.2017","X24.09.2017","X6.10.2017","X18.10.2017","X30.10.2017","X11.11.2017","X23.11.2017","X5.12.2017","X17.12.2017","X29.12.2017","X10.01.2018","X22.01.2018","X3.02.2018","X15.02.2018","X27.02.2018","X11.03.2018","X23.03.2018","X4.04.2018","X16.04.2018","X28.04.2018","X10.05.2018","X22.05.2018","X3.06.2018","X15.06.2018","X27.06.2018","X9.07.2018","X21.07.2018","X2.08.2018","X14.08.2018","X26.08.2018","X7.09.2018","X19.09.2018","X1.10.2018","X13.10.2018","X25.10.2018","X6.11.2018","X18.11.2018","X30.11.2018","X12.12.2018","X24.12.2018","X5.01.2019","X17.01.2019","X","Y","Count","Nbhd"
"35","Pixel.40",-0.001512,0.00115,0.00255,0.002896,-0.001332,-0.001767,-0.004446,-0.010323,-0.006526,-0.004425,0.003213,-0.003532,-0.002167,-0.004041,-0.003553,-0.00605,-0.002031,-0.000307,-0.004897,-0.00624,-0.006835,-0.008891,-0.004485,-0.00861,-0.006981,-0.010666,-0.0103,-0.012056,-0.008624,-0.01076,-0.009009,-0.010293,-0.009449,-0.014275,-0.011435,-0.010338,-0.010061,-0.009475,-0.013347,-0.012967,-0.0144,-0.017071,-0.014286,-0.010996,592135,7775010,1,2
"53","Pixel.27",-0.013716,0.008123,-0.003692,0.011605,0.007774,-0.006123,0.010176,-0.006358,-0.008646,0.00034,0.00067,-0.006925,-0.001862,-0.008325,-0.005126,-0.010205,-0.004154,-0.008066,-0.00936,-0.004459,-0.004886,-0.003045,-0.005316,-0.007819,-0.002461,-0.00403,-0.00785,-0.006042,-0.002479,-0.005573,-0.000989,-0.00233,-0.008399,-0.00681,-0.011448,-0.007877,-0.013339,-0.005551,-0.006411,-0.00758,-0.00362,-0.007618,-0.003818,-0.013365,592370,7775210,1,4
"55","Pixel.6",0.005609,0.01283,0.003922,0.002059,0.001757,-0.004168,0.000754,-0.001386,-0.023811,0.002999,-0.002913,0.000752,-0.001812,0.003761,-0.003281,-0.004431,-0.016454,-0.008473,0.001718,-0.004709,-0.007117,-0.004787,-0.006088,0.000754,-0.00532,-0.003349,0.000194,-0.004926,-0.004925,-0.010799,-0.010027,-0.006984,-0.005305,-0.008114,-0.006083,-0.005209,-0.006425,-0.002358,-0.009053,-0.00107,-0.010565,-0.001205,-0.008755,-0.009804,592370,7775190,1,4
"57","Pixel.82",-0.003345,0.009549,0.008906,0.001472,0.006613,-0.003236,-0.007526,-0.004499,0.003882,-0.00336,-0.001615,-0.014704,0.000177,-0.00959,-0.011912,-0.017099,-0.005803,-0.011826,-0.010454,-0.010293,-0.009564,-0.006644,-0.008442,-0.001288,-0.008085,-0.007893,-0.014053,-0.007601,-0.011298,-0.014236,-0.004499,-0.011815,-0.011121,-0.010284,-0.009179,-0.011877,-0.009994,-0.015578,-0.017924,-0.0206,-0.015122,-0.013104,-0.012744,-0.01639,592410,7775190,1,4
"58","Pixel.91",-0.000109,0.013646,-0.008348,0.01258,-0.000381,-0.007842,-0.007595,0.005863,-0.002369,-0.000569,-0.011215,-0.013183,-0.002395,-0.008686,-0.003203,-0.008595,-0.001468,-0.004627,-0.011949,-0.006482,-0.007238,-0.016188,-0.007297,-0.006744,-0.002219,-0.008487,-0.010715,0.001768,-0.002964,-0.002432,-0.002662,-0.00623,-0.00379,-0.008217,-0.006551,-0.017274,-0.009319,-0.007336,-0.015244,-0.010956,-0.009929,-0.00918,-0.002879,-0.020122,592310,7775170,1,4
"60","Pixel.132",0.000295,0.015924,0.005584,0.003365,-0.002087,-0.005323,-0.007352,-0.008362,-0.015915,-0.002672,-0.006632,-0.007595,-0.006204,-0.010546,-0.00757,-0.008133,-0.004056,-0.013596,-0.009179,-0.007385,-0.017781,-0.004172,-0.004829,-0.005363,-0.008261,-0.006918,-0.014494,-0.00677,-0.009977,-0.024416,0.000336,-0.010098,-0.007649,-0.003435,-0.01442,-0.019011,-0.007813,-0.007761,-0.000538,-0.005279,-0.017413,-0.015757,-0.037164,-0.018932,592390,7775170,1,4
"63","Pixel.203",-0.003969,0.016056,-0.00645,0.009244,-0.012145,-0.011112,-0.004052,-0.008478,-0.00584,0.002648,-0.004557,-0.008532,0.002472,-0.006835,0.000437,-0.00417,-0.005585,-0.001563,-0.011673,-0.002979,-0.003483,-0.006571,-0.005621,-0.002548,-0.008714,-0.000699,-0.006375,-0.002757,-0.008704,-0.006753,0.000434,-0.013236,-0.005215,-6e-06,-0.012334,-0.00678,-0.015673,-0.007949,-0.011002,-0.010045,-0.00736,-0.010397,-0.008419,-0.028853,592390,7775150,2,4
"65","Pixel.232",0.002821,0.006346,0.007737,0.003494,-0.001978,-0.008838,-0.014301,-0.000959,-0.001562,0.007158,-0.005562,-0.005038,-0.001575,-0.005364,-0.003247,-0.004253,0.003299,-0.004958,-0.003981,-0.001446,-0.008227,-0.011146,-0.000721,-0.003666,-0.00489,-0.005127,-0.005387,-0.004276,-0.009188,-0.001154,0.001725,-0.007763,-0.004713,-0.003729,-0.007569,-0.015772,-0.014261,-0.006514,-0.005709,-0.005895,-0.009263,-0.006518,-0.001985,-0.018237,592310,7775130,1,4
"67","Pixel.261",-0.000204,0.003854,0.000115,0.013333,-0.001311,0.008352,0.001583,-0.002281,-0.00831,-0.000991,0.000263,-0.00133,-0.001539,-0.005537,-0.006786,-0.002512,-0.017392,-0.006404,-0.00748,-0.007332,-0.013376,-0.008222,-0.005082,-0.01343,-0.004543,-0.008226,-0.009682,-0.019013,-0.00815,0.00084,-0.007176,-0.00878,-0.012754,-0.008835,-0.007723,-0.00694,-0.009099,-0.005299,-0.009239,-0.014419,-0.012679,-0.023066,-0.004497,-0.018814,592370,7775130,1,4
"68","Pixel.28",0.007881,0.002739,-0.007822,-0.00537,0.001365,0.001105,-0.006258,-0.001035,0.007742,-0.005404,0.0017,-0.007374,-0.005589,0.002282,-0.008006,-0.0019,-0.005054,-0.004232,-0.017099,-0.005986,-0.007613,0.002534,-0.005315,-0.008243,-0.000794,-0.001294,0.000977,-0.021568,-0.005264,-0.00476,-0.002855,-0.010141,-0.008368,-0.003783,-0.00463,0.001555,-0.010822,-0.007666,-0.019389,-0.013201,-0.022188,-0.009304,-0.012322,-0.010845,592410,7775130,1,4
